owning_module,model_name,field_id,field_name,ttype,relation,relation_table,relation_field,on_delete,domain,related,depends,size,copied,required,readonly,index,store,company_dependent,group_expand,selectable,translate,state,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,tracking,field_description,help,compute,create_date,write_date
api_doc,ir.attachment,476,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
api_doc,ir.attachment,475,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_passkey,auth.passkey.key,1756,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
auth_passkey,auth.passkey.key,1755,create_uid,many2one,res.users,,,set null,,,,,t,f,f,t,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Create Uid""}",,,,
auth_passkey,auth.passkey.key,1752,credential_identifier,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Credential Identifier""}",,,,
auth_passkey,auth.passkey.key,1750,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_passkey,auth.passkey.key,1749,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_passkey,auth.passkey.key,1751,name,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Name""}",,,,
auth_passkey,auth.passkey.key,1753,public_key,char,,,,,,,,,f,t,f,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Public Key""}",,,,
auth_passkey,auth.passkey.key,1754,sign_count,integer,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Sign Count""}",,,,
auth_passkey,auth.passkey.key,1758,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
auth_passkey,auth.passkey.key,1757,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
auth_passkey,auth.passkey.key.create,1763,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
auth_passkey,auth.passkey.key.create,1762,create_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created by""}",,,,
auth_passkey,auth.passkey.key.create,1760,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_passkey,auth.passkey.key.create,1759,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_passkey,auth.passkey.key.create,1761,name,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Name""}",,,,
auth_passkey,auth.passkey.key.create,1765,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
auth_passkey,auth.passkey.key.create,1764,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
auth_passkey,res.users,1766,auth_passkey_key_ids,one2many,auth.passkey.key,,create_uid,,,,,,f,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Auth Passkey Key""}",,,,
auth_passkey,res.users,1256,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_passkey,res.users,1255,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_passkey,res.users.identitycheck,1355,auth_method,selection,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Auth Method""}",,,,
auth_passkey,res.users.identitycheck,1353,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_passkey,res.users.identitycheck,1352,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_signup,ir.http,719,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_signup,ir.http,718,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_signup,res.config.settings,3091,auth_signup_reset_password,boolean,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Enable password reset from Login page""}",,,,
auth_signup,res.config.settings,3093,auth_signup_template_user_id,many2one,res.users,,,set null,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Template user for new users created through signup""}",,,,
auth_signup,res.config.settings,3092,auth_signup_uninvited,selection,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Customer Account""}",,,,
auth_signup,res.config.settings,1124,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_signup,res.config.settings,1123,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_signup,res.partner,995,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_signup,res.partner,994,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_signup,res.partner,3094,signup_type,char,,,,,,,,,f,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Signup Token Type""}",,,,
auth_signup,res.users,1256,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_signup,res.users,1255,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_signup,res.users,3096,signup_type,char,,,,,,partner_id.signup_type,,,f,f,f,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Signup Token Type""}",,,,
auth_signup,res.users,3095,state,selection,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Status""}",,,,
auth_totp,auth.totp.rate.limit.log,1628,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
auth_totp,auth.totp.rate.limit.log,1627,create_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created by""}",,,,
auth_totp,auth.totp.rate.limit.log,1623,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
auth_totp,auth.totp.rate.limit.log,1622,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
auth_totp,auth.totp.rate.limit.log,1625,ip,char,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Ip""}",,,,
auth_totp,auth.totp.rate.limit.log,1626,limit_type,selection,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Limit Type""}",,,,
auth_totp,auth.totp.rate.limit.log,1624,user_id,many2one,res.users,,,cascade,,,,,t,t,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""User""}",,,,
auth_totp,auth.totp.rate.limit.log,1630,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
auth_totp,auth.totp.rate.limit.log,1629,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
auth_totp,auth_totp.device,1620,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Creation Date""}",,,,
auth_totp,auth_totp.device,1616,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
