owning_module,model_name,field_name,relation_table,relation,relation_field,ttype,required,readonly,index,store
base,base.language.export,modules,rel_modules_langexport,ir.module.module,,many2many,f,f,f,t
base,base.language.install,lang_ids,res_lang_install_rel,res.lang,,many2many,t,f,f,t
base,base.module.uninstall,module_ids,base_module_uninstall_ir_module_module_rel,ir.module.module,,many2many,t,t,f,t
base,base.partner.merge.automatic.wizard,partner_ids,base_partner_merge_automatic_wizard_res_partner_rel,res.partner,,many2many,f,f,f,t
base,ir.actions.act_window,group_ids,ir_act_window_group_rel,res.groups,,many2many,f,f,f,t
base,ir.actions.report,group_ids,res_groups_report_rel,res.groups,,many2many,f,f,f,t
base,ir.actions.server,group_ids,ir_act_server_group_rel,res.groups,,many2many,f,f,f,t
base,ir.actions.server,webhook_field_ids,ir_act_server_webhook_field_rel,ir.model.fields,,many2many,f,f,f,t
base,ir.embedded.actions,groups_ids,ir_embedded_actions_res_groups_rel,res.groups,,many2many,f,f,f,t
base,ir.filters,user_ids,ir_filters_res_users_rel,res.users,,many2many,f,f,f,t
base,ir.model.fields,groups,ir_model_fields_group_rel,res.groups,,many2many,f,f,f,t
base,ir.module.module,country_ids,module_country,res.country,,many2many,f,f,f,t
base,ir.rule,groups,rule_group_rel,res.groups,,many2many,f,f,f,t
base,ir.ui.menu,group_ids,ir_ui_menu_group_rel,res.groups,,many2many,f,f,f,t
base,ir.ui.view,group_ids,ir_ui_view_group_rel,res.groups,,many2many,f,f,f,t
base,res.company,user_ids,res_company_users_rel,res.users,,many2many,f,f,f,t
base,res.country,country_group_ids,res_country_res_country_group_rel,res.country.group,,many2many,f,f,f,t
base,res.country.group,country_ids,res_country_res_country_group_rel,res.country,,many2many,f,f,f,t
base,res.groups,implied_by_ids,res_groups_implied_rel,res.groups,,many2many,f,f,f,t
base,res.groups,implied_ids,res_groups_implied_rel,res.groups,,many2many,f,f,f,t
base,res.groups,menu_access,ir_ui_menu_group_rel,ir.ui.menu,,many2many,f,f,f,t
base,res.groups,rule_groups,rule_group_rel,ir.rule,,many2many,f,f,f,t
base,res.groups,user_ids,res_groups_users_rel,res.users,,many2many,f,f,f,t
base,res.groups,view_access,ir_ui_view_group_rel,ir.ui.view,,many2many,f,f,f,t
base,res.partner,category_id,res_partner_res_partner_category_rel,res.partner.category,,many2many,f,f,f,t
base,res.partner.category,partner_ids,res_partner_res_partner_category_rel,res.partner,,many2many,f,f,f,t
base,res.users,company_ids,res_company_users_rel,res.company,,many2many,f,f,f,t
base,res.users,group_ids,res_groups_users_rel,res.groups,,many2many,f,f,f,t
calendar,calendar.event,alarm_ids,calendar_alarm_calendar_event_rel,calendar.alarm,,many2many,f,f,f,t
calendar,calendar.event,categ_ids,meeting_category_rel,calendar.event.type,,many2many,f,f,f,t
calendar,calendar.event,partner_ids,calendar_event_res_partner_rel,res.partner,,many2many,f,f,f,t
calendar,res.partner,meeting_ids,calendar_event_res_partner_rel,calendar.event,,many2many,f,f,f,t
crm,crm.lead,tag_ids,crm_tag_rel,crm.tag,,many2many,f,f,f,t
crm,crm.lead.lost,lead_ids,crm_lead_crm_lead_lost_rel,crm.lead,,many2many,f,f,f,t
crm,crm.lead.pls.update,pls_fields,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel,crm.lead.scoring.frequency.field,,many2many,f,f,f,t
crm,crm.lead2opportunity.partner,duplicated_lead_ids,crm_lead_crm_lead2opportunity_partner_rel,crm.lead,,many2many,f,f,f,t
crm,crm.lead2opportunity.partner.mass,duplicated_lead_ids,crm_lead_crm_lead2opportunity_partner_mass_rel,crm.lead,,many2many,f,f,f,t
crm,crm.lead2opportunity.partner.mass,lead_tomerge_ids,crm_convert_lead_mass_lead_rel,crm.lead,,many2many,f,f,f,t
crm,crm.lead2opportunity.partner.mass,user_ids,crm_lead2opportunity_partner_mass_res_users_rel,res.users,,many2many,f,f,f,t
crm,crm.merge.opportunity,opportunity_ids,merge_opportunity_rel,crm.lead,,many2many,f,f,f,t
crm,crm.stage,team_ids,crm_stage_crm_team_rel,crm.team,,many2many,f,f,f,t
crm_iap_mine,crm.iap.lead.mining.request,country_ids,crm_iap_lead_mining_request_res_country_rel,res.country,,many2many,f,f,f,t
crm_iap_mine,crm.iap.lead.mining.request,industry_ids,crm_iap_lead_industry_crm_iap_lead_mining_request_rel,crm.iap.lead.industry,,many2many,f,f,f,t
crm_iap_mine,crm.iap.lead.mining.request,role_ids,crm_iap_lead_mining_request_crm_iap_lead_role_rel,crm.iap.lead.role,,many2many,f,f,f,t
crm_iap_mine,crm.iap.lead.mining.request,state_ids,crm_iap_lead_mining_request_res_country_state_rel,res.country.state,,many2many,f,f,f,t
crm_iap_mine,crm.iap.lead.mining.request,tag_ids,crm_iap_lead_mining_request_crm_tag_rel,crm.tag,,many2many,f,f,f,t
digest,digest.digest,user_ids,digest_digest_res_users_rel,res.users,,many2many,f,f,f,t
digest,digest.tip,user_ids,digest_tip_res_users_rel,res.users,,many2many,f,f,f,t
iap,iap.account,company_ids,iap_account_res_company_rel,res.company,,many2many,f,f,f,t
iap,iap.account,warning_user_ids,iap_account_res_users_rel,res.users,,many2many,f,f,f,t
iap_mail,iap.account,company_ids,iap_account_res_company_rel,res.company,,many2many,f,f,f,t
iap_mail,iap.account,warning_user_ids,iap_account_res_users_rel,res.users,,many2many,f,f,f,t
mail,discuss.channel,group_ids,discuss_channel_res_groups_rel,res.groups,,many2many,f,f,f,t
mail,ir.actions.server,partner_ids,ir_act_server_res_partner_rel,res.partner,,many2many,f,f,f,t
mail,mail.activity,attachment_ids,activity_attachment_rel,ir.attachment,,many2many,f,f,f,t
mail,mail.activity.plan.template,next_activity_ids,mail_activity_plan_template_mail_activity_type_rel,mail.activity.type,,many2many,f,f,f,t
mail,mail.activity.schedule,plan_available_ids,mail_activity_plan_mail_activity_schedule_rel,mail.activity.plan,,many2many,f,t,f,t
mail,mail.activity.type,mail_template_ids,mail_activity_type_mail_template_rel,mail.template,,many2many,f,f,f,t
mail,mail.activity.type,previous_type_ids,mail_activity_rel,mail.activity.type,,many2many,f,f,f,t
mail,mail.activity.type,suggested_next_type_ids,mail_activity_rel,mail.activity.type,,many2many,f,f,f,t
mail,mail.canned.response,group_ids,mail_canned_response_res_groups_rel,res.groups,,many2many,f,f,f,t
mail,mail.compose.message,attachment_ids,mail_compose_message_ir_attachments_rel,ir.attachment,,many2many,f,f,f,t
mail,mail.compose.message,partner_ids,mail_compose_message_res_partner_rel,res.partner,,many2many,f,f,f,t
mail,mail.followers,subtype_ids,mail_followers_mail_message_subtype_rel,mail.message.subtype,,many2many,f,f,f,t
mail,mail.followers.edit,partner_ids,mail_followers_edit_res_partner_rel,res.partner,,many2many,t,f,f,t
mail,mail.guest,channel_ids,discuss_channel_member,discuss.channel,,many2many,f,f,f,t
mail,mail.mail,recipient_ids,mail_mail_res_partner_rel,res.partner,,many2many,f,f,f,t
mail,mail.message,attachment_ids,message_attachment_rel,ir.attachment,,many2many,f,f,f,t
mail,mail.message,notified_partner_ids,mail_notification,res.partner,,many2many,f,f,f,t
mail,mail.message,partner_ids,mail_message_res_partner_rel,res.partner,,many2many,f,f,f,t
mail,mail.message,starred_partner_ids,mail_message_res_partner_starred_rel,res.partner,,many2many,f,f,f,t
mail,mail.scheduled.message,attachment_ids,scheduled_message_attachment_rel,ir.attachment,,many2many,f,f,f,t
mail,mail.scheduled.message,partner_ids,mail_scheduled_message_res_partner_rel,res.partner,,many2many,f,f,f,t
mail,mail.template,attachment_ids,email_template_attachment_rel,ir.attachment,,many2many,f,f,f,t
mail,mail.template,report_template_ids,mail_template_ir_actions_report_rel,ir.actions.report,,many2many,f,f,f,t
mail,mail.template.reset,template_ids,mail_template_mail_template_reset_rel,mail.template,,many2many,f,f,f,t
mail,res.partner,channel_ids,discuss_channel_member,discuss.channel,,many2many,f,f,f,t
mail,res.role,user_ids,res_role_res_users_rel,res.users,,many2many,f,f,f,t
mail,res.users,role_ids,res_role_res_users_rel,res.role,,many2many,f,f,f,t
portal,portal.share,partner_ids,portal_share_res_partner_rel,res.partner,,many2many,t,f,f,t
portal,portal.wizard,partner_ids,portal_wizard_res_partner_rel,res.partner,,many2many,f,f,f,t
