owning_module,model_name,field_id,field_name,ttype,relation,relation_table,relation_field,on_delete,domain,related,depends,size,copied,required,readonly,index,store,company_dependent,group_expand,selectable,translate,state,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,tracking,field_description,help,compute,create_date,write_date
base,_unknown,4,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,_unknown,3,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,avatar.mixin,915,avatar_1024,binary,,,,,,,,,f,f,t,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Avatar 1024""}",,,,
base,avatar.mixin,918,avatar_128,binary,,,,,,,,,f,f,t,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Avatar 128""}",,,,
base,avatar.mixin,914,avatar_1920,binary,,,,,,,,,f,f,t,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Avatar""}",,,,
base,avatar.mixin,917,avatar_256,binary,,,,,,,,,f,f,t,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Avatar 256""}",,,,
base,avatar.mixin,916,avatar_512,binary,,,,,,,,,f,f,t,f,f,f,,f,,base,,,,,,,,,,"{""en_US"": ""Avatar 512""}",,,,
base,avatar.mixin,908,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,avatar.mixin,907,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,avatar.mixin,910,image_1024,binary,,,,,,image_1920,,,f,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Image 1024""}",,,,
base,avatar.mixin,913,image_128,binary,,,,,,image_1920,,,f,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Image 128""}",,,,
base,avatar.mixin,909,image_1920,binary,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Image""}",,,,
base,avatar.mixin,912,image_256,binary,,,,,,image_1920,,,f,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Image 256""}",,,,
base,avatar.mixin,911,image_512,binary,,,,,,image_1920,,,f,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Image 512""}",,,,
base,base,2,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,base,1,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,base.enable.profiling.wizard,897,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
base,base.enable.profiling.wizard,896,create_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created by""}",,,,
base,base.enable.profiling.wizard,893,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,base.enable.profiling.wizard,894,duration,selection,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Enable profiling for""}",,,,
base,base.enable.profiling.wizard,895,expiration,datetime,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Enable profiling until""}",,,,
base,base.enable.profiling.wizard,892,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,base.enable.profiling.wizard,899,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
base,base.enable.profiling.wizard,898,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
base,base.language.export,1528,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
base,base.language.export,1527,create_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created by""}",,,,
base,base.language.export,1525,data,binary,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""File""}",,,,
base,base.language.export,1516,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,base.language.export,1524,domain,char,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Model Domain""}",,,,
base,base.language.export,1520,export_type,selection,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Export Type""}",,,,
base,base.language.export,1519,format,selection,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""File Format""}",,,,
base,base.language.export,1515,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,base.language.export,1518,lang,selection,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Language""}",,,,
base,base.language.export,1522,model_id,many2one,ir.model,,,set null,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Model to Export""}",,,,
base,base.language.export,1523,model_name,char,,,,,,model_id.model,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Model Name""}",,,,
base,base.language.export,1521,modules,many2many,ir.module.module,rel_modules_langexport,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Apps To Export""}",,,,
base,base.language.export,1517,name,char,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""File Name""}",,,,
base,base.language.export,1526,state,selection,,,,,,,,,f,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""State""}",,,,
base,base.language.export,1530,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
base,base.language.export,1529,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
base,base.language.import,1490,code,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ISO Code""}","{""en_US"": ""ISO Language and Country code, e.g. en_US""}",,,
base,base.language.import,1495,create_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created on""}",,,,
base,base.language.import,1494,create_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Created by""}",,,,
base,base.language.import,1491,data,binary,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""File""}",,,,
base,base.language.import,1488,display_name,char,,,,,,,,,f,f,t,f,f,f,,t,,base,,,,,,,,,,"{""en_US"": ""Display Name""}",,,,
base,base.language.import,1492,filename,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""File Name""}",,,,
base,base.language.import,1487,id,integer,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""ID""}",,,,
base,base.language.import,1489,name,char,,,,,,,,,t,t,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Language Name""}",,,,
base,base.language.import,1493,overwrite,boolean,,,,,,,,,t,f,f,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Overwrite Existing Terms""}","{""en_US"": ""If you enable this option, existing translations (including custom ones) will be overwritten and replaced by those in this file""}",,,
base,base.language.import,1497,write_date,datetime,,,,,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated on""}",,,,
base,base.language.import,1496,write_uid,many2one,res.users,,,set null,,,,,t,f,t,f,t,f,,t,,base,,,,,,,,,,"{""en_US"": ""Last Updated by""}",,,,
