table_name,object_type,category,base_owner,crm_owner,owner_modules,objects,model_count,field_count,relation_field_count,column_count,index_count,fk_count,incoming_fk_count,outgoing_fk_count,primary_key_count,unique_count,check_count,degree,notes
base_enable_profiling_wizard,model_table,base,true,false,base,base.enable.profiling.wizard,1,8,0,7,1,2,0,2,1,0,0,2,
base_language_export,model_table,base,true,false,base,base.language.export,1,16,0,13,1,3,1,3,1,0,0,4,
base_language_import,model_table,base,true,false,base,base.language.import,1,11,0,10,1,2,0,2,1,0,0,2,
base_language_install,model_table,base,true,false,base,base.language.install,1,9,0,6,1,2,1,2,1,0,0,3,
base_module_uninstall_ir_module_module_rel,relation_table,base,true,false,base,base.module.uninstall.module_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
base_module_update,model_table,base,true,false,base,base.module.update,1,9,0,8,1,2,0,2,1,0,0,2,
base_module_upgrade,model_table,base,true,false,base,base.module.upgrade,1,7,0,6,1,2,0,2,1,0,0,2,
base_partner_merge_automatic_wizard_res_partner_rel,relation_table,base,true,false,base,base.partner.merge.automatic.wizard.partner_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
base_partner_merge_line,model_table,base,true,false,base,base.partner.merge.line,1,9,0,8,1,3,1,3,1,0,0,4,
change_password_own,model_table,base,true,false,base,change.password.own,1,8,0,7,1,2,0,2,1,0,0,2,
change_password_user,model_table,base,true,false,base,change.password.user,1,10,0,9,1,4,0,4,1,0,0,4,
change_password_wizard,model_table,base,true,false,base,change.password.wizard,1,7,0,5,1,2,1,2,1,0,0,3,
decimal_precision,model_table,base,true,false,base,decimal.precision,1,8,0,7,2,2,0,2,1,1,0,2,
ir_act_client,model_table,base,true,false,base,ir.actions.client,1,20,0,17,2,3,0,3,1,1,0,3,
ir_act_server_group_rel,relation_table,base,true,false,base,ir.actions.server.group_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_act_server_webhook_field_rel,relation_table,base,true,false,base,ir.actions.server.webhook_field_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_act_url,model_table,base,true,false,base,ir.actions.act_url,1,16,0,14,2,3,0,3,1,1,0,3,
ir_act_window,model_table,base,true,false,base,ir.actions.act_window,1,31,0,25,2,5,6,5,1,1,0,11,
ir_act_window_group_rel,relation_table,base,true,false,base,ir.actions.act_window.group_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_actions,model_table,base,true,false,base,ir.actions.actions,1,14,0,12,2,3,0,3,1,1,0,3,
ir_actions_server_history,model_table,base,true,false,base,ir.actions.server.history,1,8,0,7,1,3,1,3,1,0,0,4,
ir_actions_todo,model_table,base,true,false,base,ir.actions.todo,1,10,0,9,2,2,0,2,1,0,0,2,
ir_asset,model_table,base,true,false,base,ir.asset,1,13,0,12,1,2,0,2,1,0,0,2,
ir_cron_progress,model_table,base,true,false,base,ir.cron.progress,1,11,0,10,2,3,0,3,1,0,0,3,
ir_cron_trigger,model_table,base,true,false,base,ir.cron.trigger,1,8,0,7,3,3,1,3,1,0,0,4,
ir_default,model_table,base,true,false,base,ir.default,1,11,0,10,4,5,0,5,1,0,0,5,
ir_demo,model_table,base,true,false,base,ir.demo,1,6,0,5,1,2,0,2,1,0,0,2,
ir_demo_failure,model_table,base,true,false,base,ir.demo_failure,1,9,0,8,1,4,0,4,1,0,0,4,
ir_demo_failure_wizard,model_table,base,true,false,base,ir.demo_failure.wizard,1,8,0,5,1,2,1,2,1,0,0,3,
ir_embedded_actions,model_table,base,true,false,base,ir.embedded.actions,1,21,0,16,1,4,2,4,1,0,2,6,
ir_embedded_actions_res_groups_rel,relation_table,base,true,false,base,ir.embedded.actions.groups_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_exports,model_table,base,true,false,base,ir.exports,1,9,0,7,2,2,1,2,1,0,0,3,
ir_exports_line,model_table,base,true,false,base,ir.exports.line,1,8,0,7,2,3,0,3,1,0,0,3,
ir_filters,model_table,base,true,false,base,ir.filters,1,17,0,15,3,3,1,3,1,0,2,4,
ir_filters_res_users_rel,relation_table,base,true,false,base,ir.filters.user_ids,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_logging,model_table,base,true,false,base,ir.logging,1,14,0,13,4,0,0,0,1,0,0,0,
ir_model_access,model_table,base,true,false,base,ir.model.access,1,14,0,13,4,4,0,4,1,0,0,4,
ir_model_constraint,model_table,base,true,false,base,ir.model.constraint,1,12,0,11,5,4,0,4,1,1,0,4,
ir_model_data,model_table,base,true,false,base,ir.model.data,1,13,0,10,3,2,0,2,1,0,1,2,
ir_model_fields_group_rel,relation_table,base,true,false,base,ir.model.fields.groups,0,0,1,2,2,2,0,2,1,0,0,2,many-to-many bridge
ir_model_fields_selection,model_table,base,true,false,base,ir.model.fields.selection,1,10,0,9,3,3,1,3,1,1,0,4,
ir_model_inherit,model_table,base,true,false,base,ir.model.inherit,1,5,0,4,2,3,0,3,1,1,0,3,
ir_model_relation,model_table,base,true,false,base,ir.model.relation,1,9,0,8,4,4,0,4,1,0,0,4,
ir_module_category,model_table,base,true,false,base,ir.module.category,1,16,0,11,2,3,3,3,1,0,0,6,
ir_module_module_dependency,model_table,base,true,false,base,ir.module.module.dependency,1,7,0,4,2,1,0,1,1,0,0,1,
ir_module_module_exclusion,model_table,base,true,false,base,ir.module.module.exclusion,1,10,0,7,2,3,0,3,1,0,0,3,
ir_profile,model_table,base,true,false,base,ir.profile,1,18,0,14,2,0,0,0,1,0,0,0,
ir_rule,model_table,base,true,false,base,ir.rule,1,16,0,14,2,3,1,3,1,0,1,4,
ir_sequence,model_table,base,true,false,base,ir.sequence,1,19,0,16,1,3,2,3,1,0,0,5,
ir_sequence_date_range,model_table,base,true,false,base,ir.sequence.date_range,1,11,0,9,2,3,0,3,1,1,0,3,
