source_table,source_columns,target_table,target_columns,constraint_name,on_delete
activity_attachment_rel,activity_id,mail_activity,id,activity_attachment_rel_activity_id_fkey,CASCADE
activity_attachment_rel,attachment_id,ir_attachment,id,activity_attachment_rel_attachment_id_fkey,CASCADE
auth_passkey_key,create_uid,res_users,id,auth_passkey_key_create_uid_fkey,SET NULL
auth_passkey_key,write_uid,res_users,id,auth_passkey_key_write_uid_fkey,SET NULL
auth_passkey_key_create,create_uid,res_users,id,auth_passkey_key_create_create_uid_fkey,SET NULL
auth_passkey_key_create,write_uid,res_users,id,auth_passkey_key_create_write_uid_fkey,SET NULL
auth_totp_device,user_id,res_users,id,auth_totp_device_user_id_fkey,CASCADE
auth_totp_rate_limit_log,create_uid,res_users,id,auth_totp_rate_limit_log_create_uid_fkey,SET NULL
auth_totp_rate_limit_log,user_id,res_users,id,auth_totp_rate_limit_log_user_id_fkey,CASCADE
auth_totp_rate_limit_log,write_uid,res_users,id,auth_totp_rate_limit_log_write_uid_fkey,SET NULL
auth_totp_wizard,create_uid,res_users,id,auth_totp_wizard_create_uid_fkey,SET NULL
auth_totp_wizard,user_id,res_users,id,auth_totp_wizard_user_id_fkey,CASCADE
auth_totp_wizard,write_uid,res_users,id,auth_totp_wizard_write_uid_fkey,SET NULL
base_document_layout,company_id,res_company,id,base_document_layout_company_id_fkey,CASCADE
base_document_layout,create_uid,res_users,id,base_document_layout_create_uid_fkey,SET NULL
base_document_layout,report_layout_id,report_layout,id,base_document_layout_report_layout_id_fkey,SET NULL
base_document_layout,write_uid,res_users,id,base_document_layout_write_uid_fkey,SET NULL
base_enable_profiling_wizard,create_uid,res_users,id,base_enable_profiling_wizard_create_uid_fkey,SET NULL
base_enable_profiling_wizard,write_uid,res_users,id,base_enable_profiling_wizard_write_uid_fkey,SET NULL
base_import_import,create_uid,res_users,id,base_import_import_create_uid_fkey,SET NULL
base_import_import,write_uid,res_users,id,base_import_import_write_uid_fkey,SET NULL
base_import_mapping,create_uid,res_users,id,base_import_mapping_create_uid_fkey,SET NULL
base_import_mapping,write_uid,res_users,id,base_import_mapping_write_uid_fkey,SET NULL
base_import_module,create_uid,res_users,id,base_import_module_create_uid_fkey,SET NULL
