module,state,latest_version,models,fields,constraints,relation_fields
api_doc,installed,19.0.1.0,1,2,0,0
auth_passkey,installed,19.0.1.1,4,23,1,0
auth_passkey_portal,installed,19.0.1.0,0,0,0,0
auth_signup,installed,19.0.1.0,4,14,0,0
auth_totp,installed,19.0.1.0,4,33,1,0
auth_totp_mail,installed,19.0.1.0,3,8,0,0
auth_totp_portal,installed,19.0.1.0,1,2,0,0
base,installed,19.0.1.3,124,1567,57,28
base_import,installed,19.0.2.0,4,21,0,0
base_import_module,installed,19.0.1.0,5,22,0,0
base_install_request,installed,19.0.1.0,3,21,0,0
base_setup,installed,19.0.1.0,4,37,0,0
bus,installed,19.0.1.0,11,28,0,0
calendar,installed,19.0.1.1,18,226,3,4
calendar_sms,installed,19.0.1.1,3,8,0,0
contacts,installed,19.0.1.0,2,4,0,0
crm,installed,19.0.1.9,22,330,5,9
crm_iap_enrich,installed,19.0.1.1,2,6,0,0
crm_iap_mine,installed,19.0.1.2,6,68,3,5
crm_sms,installed,19.0.1.1,0,0,0,0
digest,installed,19.0.1.1,4,36,0,2
google_gmail,installed,19.0.1.2,5,30,0,0
html_editor,installed,19.0.1.0,24,73,0,0
http_routing,installed,19.0.1.0,3,6,0,0
iap,installed,19.0.1.1,3,30,1,2
iap_crm,installed,19.0.1.0,1,3,0,0
iap_mail,installed,19.0.1.0,1,15,0,2
mail,installed,19.0.1.19,78,1169,43,27
mail_bot,installed,19.0.1.2,3,8,0,0
microsoft_outlook,installed,19.0.1.1,5,30,0,0
partner_autocomplete,installed,19.0.1.1,5,12,0,0
phone_validation,installed,19.0.2.1,6,64,1,0
portal,installed,19.0.1.0,12,76,0,2
privacy_lookup,installed,19.0.1.0,4,44,0,0
resource,installed,19.0.1.1,7,91,1,0
resource_mail,installed,19.0.1.0,1,4,0,0
rpc,installed,19.0.1.0,0,0,0,0
sales_team,installed,19.0.1.1,4,74,1,1
sms,installed,19.0.3.0,18,158,2,1
snailmail,installed,19.0.0.4,8,60,0,0
utm,installed,19.0.1.1,8,56,4,1
web,installed,19.0.1.0,15,71,1,0
web_tour,installed,19.0.1.0,4,31,1,1
web_unsplash,installed,19.0.1.1,4,10,0,0
