schemaname,tablename,conname,contype,definition
public,activity_attachment_rel,activity_attachment_rel_activity_id_fkey,f,FOREIGN KEY (activity_id) REFERENCES mail_activity(id) ON DELETE CASCADE
public,activity_attachment_rel,activity_attachment_rel_attachment_id_fkey,f,FOREIGN KEY (attachment_id) REFERENCES ir_attachment(id) ON DELETE CASCADE
public,activity_attachment_rel,activity_attachment_rel_pkey,p,"PRIMARY KEY (activity_id, attachment_id)"
public,auth_passkey_key,auth_passkey_key_create_uid_fkey,f,FOREIGN KEY (create_uid) REFERENCES res_users(id) ON DELETE SET NULL
public,auth_passkey_key,auth_passkey_key_pkey,p,PRIMARY KEY (id)
public,auth_passkey_key,auth_passkey_key_unique_identifier,u,UNIQUE (credential_identifier)
public,auth_passkey_key,auth_passkey_key_write_uid_fkey,f,FOREIGN KEY (write_uid) REFERENCES res_users(id) ON DELETE SET NULL
public,auth_passkey_key_create,auth_passkey_key_create_create_uid_fkey,f,FOREIGN KEY (create_uid) REFERENCES res_users(id) ON DELETE SET NULL
public,auth_passkey_key_create,auth_passkey_key_create_pkey,p,PRIMARY KEY (id)
public,auth_passkey_key_create,auth_passkey_key_create_write_uid_fkey,f,FOREIGN KEY (write_uid) REFERENCES res_users(id) ON DELETE SET NULL
public,auth_totp_device,auth_totp_device_index_check,c,CHECK ((char_length((index)::text) = 8))
public,auth_totp_device,auth_totp_device_pkey,p,PRIMARY KEY (id)
public,auth_totp_device,auth_totp_device_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES res_users(id) ON DELETE CASCADE
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_create_uid_fkey,f,FOREIGN KEY (create_uid) REFERENCES res_users(id) ON DELETE SET NULL
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_pkey,p,PRIMARY KEY (id)
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES res_users(id) ON DELETE CASCADE
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_write_uid_fkey,f,FOREIGN KEY (write_uid) REFERENCES res_users(id) ON DELETE SET NULL
