schemaname,tablename,indexname,indexdef
public,activity_attachment_rel,activity_attachment_rel_attachment_id_activity_id_idx,"CREATE INDEX activity_attachment_rel_attachment_id_activity_id_idx ON public.activity_attachment_rel USING btree (attachment_id, activity_id)"
public,activity_attachment_rel,activity_attachment_rel_pkey,"CREATE UNIQUE INDEX activity_attachment_rel_pkey ON public.activity_attachment_rel USING btree (activity_id, attachment_id)"
public,auth_passkey_key,auth_passkey_key__create_uid_index,CREATE INDEX auth_passkey_key__create_uid_index ON public.auth_passkey_key USING btree (create_uid)
public,auth_passkey_key,auth_passkey_key_pkey,CREATE UNIQUE INDEX auth_passkey_key_pkey ON public.auth_passkey_key USING btree (id)
public,auth_passkey_key,auth_passkey_key_unique_identifier,CREATE UNIQUE INDEX auth_passkey_key_unique_identifier ON public.auth_passkey_key USING btree (credential_identifier)
public,auth_passkey_key_create,auth_passkey_key_create_pkey,CREATE UNIQUE INDEX auth_passkey_key_create_pkey ON public.auth_passkey_key_create USING btree (id)
public,auth_totp_device,auth_totp_device_pkey,CREATE UNIQUE INDEX auth_totp_device_pkey ON public.auth_totp_device USING btree (id)
public,auth_totp_device,auth_totp_device_user_id_index_idx,"CREATE INDEX auth_totp_device_user_id_index_idx ON public.auth_totp_device USING btree (user_id, index)"
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_pkey,CREATE UNIQUE INDEX auth_totp_rate_limit_log_pkey ON public.auth_totp_rate_limit_log USING btree (id)
public,auth_totp_rate_limit_log,auth_totp_rate_limit_log_user_id_limit_type_create_date_idx,"CREATE INDEX auth_totp_rate_limit_log_user_id_limit_type_create_date_idx ON public.auth_totp_rate_limit_log USING btree (user_id, limit_type, create_date)"
public,auth_totp_wizard,auth_totp_wizard_pkey,CREATE UNIQUE INDEX auth_totp_wizard_pkey ON public.auth_totp_wizard USING btree (id)
public,base_document_layout,base_document_layout_pkey,CREATE UNIQUE INDEX base_document_layout_pkey ON public.base_document_layout USING btree (id)
public,base_enable_profiling_wizard,base_enable_profiling_wizard_pkey,CREATE UNIQUE INDEX base_enable_profiling_wizard_pkey ON public.base_enable_profiling_wizard USING btree (id)
public,base_import_import,base_import_import_pkey,CREATE UNIQUE INDEX base_import_import_pkey ON public.base_import_import USING btree (id)
public,base_import_mapping,base_import_mapping__res_model_index,CREATE INDEX base_import_mapping__res_model_index ON public.base_import_mapping USING btree (res_model)
public,base_import_mapping,base_import_mapping_pkey,CREATE UNIQUE INDEX base_import_mapping_pkey ON public.base_import_mapping USING btree (id)
public,base_import_module,base_import_module_pkey,CREATE UNIQUE INDEX base_import_module_pkey ON public.base_import_module USING btree (id)
public,base_language_export,base_language_export_pkey,CREATE UNIQUE INDEX base_language_export_pkey ON public.base_language_export USING btree (id)
public,base_language_import,base_language_import_pkey,CREATE UNIQUE INDEX base_language_import_pkey ON public.base_language_import USING btree (id)
public,base_language_install,base_language_install_pkey,CREATE UNIQUE INDEX base_language_install_pkey ON public.base_language_install USING btree (id)
public,base_module_install_request,base_module_install_request_pkey,CREATE UNIQUE INDEX base_module_install_request_pkey ON public.base_module_install_request USING btree (id)
public,base_module_install_review,base_module_install_review_pkey,CREATE UNIQUE INDEX base_module_install_review_pkey ON public.base_module_install_review USING btree (id)
public,base_module_uninstall,base_module_uninstall_pkey,CREATE UNIQUE INDEX base_module_uninstall_pkey ON public.base_module_uninstall USING btree (id)
public,base_module_uninstall_ir_module_module_rel,base_module_uninstall_ir_modu_ir_module_module_id_base_modu_idx,"CREATE INDEX base_module_uninstall_ir_modu_ir_module_module_id_base_modu_idx ON public.base_module_uninstall_ir_module_module_rel USING btree (ir_module_module_id, base_module_uninstall_id)"
public,base_module_uninstall_ir_module_module_rel,base_module_uninstall_ir_module_module_rel_pkey,"CREATE UNIQUE INDEX base_module_uninstall_ir_module_module_rel_pkey ON public.base_module_uninstall_ir_module_module_rel USING btree (base_module_uninstall_id, ir_module_module_id)"
public,base_module_update,base_module_update_pkey,CREATE UNIQUE INDEX base_module_update_pkey ON public.base_module_update USING btree (id)
public,base_module_upgrade,base_module_upgrade_pkey,CREATE UNIQUE INDEX base_module_upgrade_pkey ON public.base_module_upgrade USING btree (id)
public,base_partner_merge_automatic_wizard,base_partner_merge_automatic_wizard_pkey,CREATE UNIQUE INDEX base_partner_merge_automatic_wizard_pkey ON public.base_partner_merge_automatic_wizard USING btree (id)
public,base_partner_merge_automatic_wizard_res_partner_rel,base_partner_merge_automatic__res_partner_id_base_partner_m_idx,"CREATE INDEX base_partner_merge_automatic__res_partner_id_base_partner_m_idx ON public.base_partner_merge_automatic_wizard_res_partner_rel USING btree (res_partner_id, base_partner_merge_automatic_wizard_id)"
public,base_partner_merge_automatic_wizard_res_partner_rel,base_partner_merge_automatic_wizard_res_partner_rel_pkey,"CREATE UNIQUE INDEX base_partner_merge_automatic_wizard_res_partner_rel_pkey ON public.base_partner_merge_automatic_wizard_res_partner_rel USING btree (base_partner_merge_automatic_wizard_id, res_partner_id)"
public,base_partner_merge_line,base_partner_merge_line_pkey,CREATE UNIQUE INDEX base_partner_merge_line_pkey ON public.base_partner_merge_line USING btree (id)
public,bus_bus,bus_bus_pkey,CREATE UNIQUE INDEX bus_bus_pkey ON public.bus_bus USING btree (id)
public,calendar_alarm,calendar_alarm_pkey,CREATE UNIQUE INDEX calendar_alarm_pkey ON public.calendar_alarm USING btree (id)
public,calendar_alarm_calendar_event_rel,calendar_alarm_calendar_event_calendar_alarm_id_calendar_ev_idx,"CREATE INDEX calendar_alarm_calendar_event_calendar_alarm_id_calendar_ev_idx ON public.calendar_alarm_calendar_event_rel USING btree (calendar_alarm_id, calendar_event_id)"
public,calendar_alarm_calendar_event_rel,calendar_alarm_calendar_event_rel_pkey,"CREATE UNIQUE INDEX calendar_alarm_calendar_event_rel_pkey ON public.calendar_alarm_calendar_event_rel USING btree (calendar_event_id, calendar_alarm_id)"
public,calendar_attendee,calendar_attendee__event_id_index,CREATE INDEX calendar_attendee__event_id_index ON public.calendar_attendee USING btree (event_id)
public,calendar_attendee,calendar_attendee_pkey,CREATE UNIQUE INDEX calendar_attendee_pkey ON public.calendar_attendee USING btree (id)
public,calendar_event,calendar_event__access_token_index,CREATE INDEX calendar_event__access_token_index ON public.calendar_event USING btree (access_token)
public,calendar_event,calendar_event__opportunity_id_index,CREATE INDEX calendar_event__opportunity_id_index ON public.calendar_event USING btree (opportunity_id)
public,calendar_event,calendar_event__recurrence_id_index,CREATE INDEX calendar_event__recurrence_id_index ON public.calendar_event USING btree (recurrence_id) WHERE (recurrence_id IS NOT NULL)
public,calendar_event,calendar_event__start_index,CREATE INDEX calendar_event__start_index ON public.calendar_event USING btree (start)
public,calendar_event,calendar_event__user_id_index,CREATE INDEX calendar_event__user_id_index ON public.calendar_event USING btree (user_id) WHERE (user_id IS NOT NULL)
public,calendar_event,calendar_event__videocall_channel_id_index,CREATE INDEX calendar_event__videocall_channel_id_index ON public.calendar_event USING btree (videocall_channel_id) WHERE (videocall_channel_id IS NOT NULL)
public,calendar_event,calendar_event_pkey,CREATE UNIQUE INDEX calendar_event_pkey ON public.calendar_event USING btree (id)
public,calendar_event_res_partner_rel,calendar_event_res_partner_re_calendar_event_id_res_partner_idx,"CREATE INDEX calendar_event_res_partner_re_calendar_event_id_res_partner_idx ON public.calendar_event_res_partner_rel USING btree (calendar_event_id, res_partner_id)"
public,calendar_event_res_partner_rel,calendar_event_res_partner_rel_pkey,"CREATE UNIQUE INDEX calendar_event_res_partner_rel_pkey ON public.calendar_event_res_partner_rel USING btree (res_partner_id, calendar_event_id)"
public,calendar_event_type,calendar_event_type_name_uniq,CREATE UNIQUE INDEX calendar_event_type_name_uniq ON public.calendar_event_type USING btree (name)
public,calendar_event_type,calendar_event_type_pkey,CREATE UNIQUE INDEX calendar_event_type_pkey ON public.calendar_event_type USING btree (id)
public,calendar_filters,calendar_filters__partner_id_index,CREATE INDEX calendar_filters__partner_id_index ON public.calendar_filters USING btree (partner_id)
public,calendar_filters,calendar_filters__user_id_index,CREATE INDEX calendar_filters__user_id_index ON public.calendar_filters USING btree (user_id)
public,calendar_filters,calendar_filters_pkey,CREATE UNIQUE INDEX calendar_filters_pkey ON public.calendar_filters USING btree (id)
public,calendar_filters,calendar_filters_user_id_partner_id_unique,"CREATE UNIQUE INDEX calendar_filters_user_id_partner_id_unique ON public.calendar_filters USING btree (user_id, partner_id)"
public,calendar_popover_delete_wizard,calendar_popover_delete_wizard_pkey,CREATE UNIQUE INDEX calendar_popover_delete_wizard_pkey ON public.calendar_popover_delete_wizard USING btree (id)
public,calendar_provider_config,calendar_provider_config_pkey,CREATE UNIQUE INDEX calendar_provider_config_pkey ON public.calendar_provider_config USING btree (id)
public,calendar_recurrence,calendar_recurrence_pkey,CREATE UNIQUE INDEX calendar_recurrence_pkey ON public.calendar_recurrence USING btree (id)
public,change_password_own,change_password_own_pkey,CREATE UNIQUE INDEX change_password_own_pkey ON public.change_password_own USING btree (id)
public,change_password_user,change_password_user_pkey,CREATE UNIQUE INDEX change_password_user_pkey ON public.change_password_user USING btree (id)
public,change_password_wizard,change_password_wizard_pkey,CREATE UNIQUE INDEX change_password_wizard_pkey ON public.change_password_wizard USING btree (id)
public,crm_convert_lead_mass_lead_rel,crm_convert_lead_mass_lead_re_crm_lead_id_crm_lead2opportun_idx,"CREATE INDEX crm_convert_lead_mass_lead_re_crm_lead_id_crm_lead2opportun_idx ON public.crm_convert_lead_mass_lead_rel USING btree (crm_lead_id, crm_lead2opportunity_partner_mass_id)"
public,crm_convert_lead_mass_lead_rel,crm_convert_lead_mass_lead_rel_pkey,"CREATE UNIQUE INDEX crm_convert_lead_mass_lead_rel_pkey ON public.crm_convert_lead_mass_lead_rel USING btree (crm_lead2opportunity_partner_mass_id, crm_lead_id)"
public,crm_iap_lead_helpers,crm_iap_lead_helpers_pkey,CREATE UNIQUE INDEX crm_iap_lead_helpers_pkey ON public.crm_iap_lead_helpers USING btree (id)
public,crm_iap_lead_industry,crm_iap_lead_industry_name_uniq,CREATE UNIQUE INDEX crm_iap_lead_industry_name_uniq ON public.crm_iap_lead_industry USING btree (name)
public,crm_iap_lead_industry,crm_iap_lead_industry_pkey,CREATE UNIQUE INDEX crm_iap_lead_industry_pkey ON public.crm_iap_lead_industry USING btree (id)
public,crm_iap_lead_industry_crm_iap_lead_mining_request_rel,crm_iap_lead_industry_crm_iap_crm_iap_lead_industry_id_crm__idx,"CREATE INDEX crm_iap_lead_industry_crm_iap_crm_iap_lead_industry_id_crm__idx ON public.crm_iap_lead_industry_crm_iap_lead_mining_request_rel USING btree (crm_iap_lead_industry_id, crm_iap_lead_mining_request_id)"
public,crm_iap_lead_industry_crm_iap_lead_mining_request_rel,crm_iap_lead_industry_crm_iap_lead_mining_request_rel_pkey,"CREATE UNIQUE INDEX crm_iap_lead_industry_crm_iap_lead_mining_request_rel_pkey ON public.crm_iap_lead_industry_crm_iap_lead_mining_request_rel USING btree (crm_iap_lead_mining_request_id, crm_iap_lead_industry_id)"
public,crm_iap_lead_mining_request,crm_iap_lead_mining_request_pkey,CREATE UNIQUE INDEX crm_iap_lead_mining_request_pkey ON public.crm_iap_lead_mining_request USING btree (id)
public,crm_iap_lead_mining_request_crm_iap_lead_role_rel,crm_iap_lead_mining_request_c_crm_iap_lead_role_id_crm_iap__idx,"CREATE INDEX crm_iap_lead_mining_request_c_crm_iap_lead_role_id_crm_iap__idx ON public.crm_iap_lead_mining_request_crm_iap_lead_role_rel USING btree (crm_iap_lead_role_id, crm_iap_lead_mining_request_id)"
public,crm_iap_lead_mining_request_crm_iap_lead_role_rel,crm_iap_lead_mining_request_crm_iap_lead_role_rel_pkey,"CREATE UNIQUE INDEX crm_iap_lead_mining_request_crm_iap_lead_role_rel_pkey ON public.crm_iap_lead_mining_request_crm_iap_lead_role_rel USING btree (crm_iap_lead_mining_request_id, crm_iap_lead_role_id)"
public,crm_iap_lead_mining_request_crm_tag_rel,crm_iap_lead_mining_request_c_crm_tag_id_crm_iap_lead_minin_idx,"CREATE INDEX crm_iap_lead_mining_request_c_crm_tag_id_crm_iap_lead_minin_idx ON public.crm_iap_lead_mining_request_crm_tag_rel USING btree (crm_tag_id, crm_iap_lead_mining_request_id)"
public,crm_iap_lead_mining_request_crm_tag_rel,crm_iap_lead_mining_request_crm_tag_rel_pkey,"CREATE UNIQUE INDEX crm_iap_lead_mining_request_crm_tag_rel_pkey ON public.crm_iap_lead_mining_request_crm_tag_rel USING btree (crm_iap_lead_mining_request_id, crm_tag_id)"
public,crm_iap_lead_mining_request_res_country_rel,crm_iap_lead_mining_request_r_res_country_id_crm_iap_lead_m_idx,"CREATE INDEX crm_iap_lead_mining_request_r_res_country_id_crm_iap_lead_m_idx ON public.crm_iap_lead_mining_request_res_country_rel USING btree (res_country_id, crm_iap_lead_mining_request_id)"
public,crm_iap_lead_mining_request_res_country_rel,crm_iap_lead_mining_request_res_country_rel_pkey,"CREATE UNIQUE INDEX crm_iap_lead_mining_request_res_country_rel_pkey ON public.crm_iap_lead_mining_request_res_country_rel USING btree (crm_iap_lead_mining_request_id, res_country_id)"
public,crm_iap_lead_mining_request_res_country_state_rel,crm_iap_lead_mining_request_r_res_country_state_id_crm_iap__idx,"CREATE INDEX crm_iap_lead_mining_request_r_res_country_state_id_crm_iap__idx ON public.crm_iap_lead_mining_request_res_country_state_rel USING btree (res_country_state_id, crm_iap_lead_mining_request_id)"
public,crm_iap_lead_mining_request_res_country_state_rel,crm_iap_lead_mining_request_res_country_state_rel_pkey,"CREATE UNIQUE INDEX crm_iap_lead_mining_request_res_country_state_rel_pkey ON public.crm_iap_lead_mining_request_res_country_state_rel USING btree (crm_iap_lead_mining_request_id, res_country_state_id)"
public,crm_iap_lead_role,crm_iap_lead_role_name_uniq,CREATE UNIQUE INDEX crm_iap_lead_role_name_uniq ON public.crm_iap_lead_role USING btree (name)
public,crm_iap_lead_role,crm_iap_lead_role_pkey,CREATE UNIQUE INDEX crm_iap_lead_role_pkey ON public.crm_iap_lead_role USING btree (id)
public,crm_iap_lead_seniority,crm_iap_lead_seniority_name_uniq,CREATE UNIQUE INDEX crm_iap_lead_seniority_name_uniq ON public.crm_iap_lead_seniority USING btree (name)
public,crm_iap_lead_seniority,crm_iap_lead_seniority_pkey,CREATE UNIQUE INDEX crm_iap_lead_seniority_pkey ON public.crm_iap_lead_seniority USING btree (id)
public,crm_lead,crm_lead__campaign_id_index,CREATE INDEX crm_lead__campaign_id_index ON public.crm_lead USING btree (campaign_id) WHERE (campaign_id IS NOT NULL)
public,crm_lead,crm_lead__company_id_index,CREATE INDEX crm_lead__company_id_index ON public.crm_lead USING btree (company_id)
public,crm_lead,crm_lead__contact_name_index,CREATE INDEX crm_lead__contact_name_index ON public.crm_lead USING gin (contact_name gin_trgm_ops)
public,crm_lead,crm_lead__date_last_stage_update_index,CREATE INDEX crm_lead__date_last_stage_update_index ON public.crm_lead USING btree (date_last_stage_update)
public,crm_lead,crm_lead__email_domain_criterion_index,CREATE INDEX crm_lead__email_domain_criterion_index ON public.crm_lead USING btree (email_domain_criterion) WHERE (email_domain_criterion IS NOT NULL)
public,crm_lead,crm_lead__email_from_index,CREATE INDEX crm_lead__email_from_index ON public.crm_lead USING gin (email_from gin_trgm_ops)
public,crm_lead,crm_lead__email_normalized_index,CREATE INDEX crm_lead__email_normalized_index ON public.crm_lead USING gin (email_normalized gin_trgm_ops)
public,crm_lead,crm_lead__lead_mining_request_id_index,CREATE INDEX crm_lead__lead_mining_request_id_index ON public.crm_lead USING btree (lead_mining_request_id) WHERE (lead_mining_request_id IS NOT NULL)
public,crm_lead,crm_lead__lost_reason_id_index,CREATE INDEX crm_lead__lost_reason_id_index ON public.crm_lead USING btree (lost_reason_id)
public,crm_lead,crm_lead__medium_id_index,CREATE INDEX crm_lead__medium_id_index ON public.crm_lead USING btree (medium_id) WHERE (medium_id IS NOT NULL)
public,crm_lead,crm_lead__name_index,CREATE INDEX crm_lead__name_index ON public.crm_lead USING gin (name gin_trgm_ops)
public,crm_lead,crm_lead__partner_id_index,CREATE INDEX crm_lead__partner_id_index ON public.crm_lead USING btree (partner_id)
public,crm_lead,crm_lead__partner_name_index,CREATE INDEX crm_lead__partner_name_index ON public.crm_lead USING gin (partner_name gin_trgm_ops)
public,crm_lead,crm_lead__phone_sanitized_index,CREATE INDEX crm_lead__phone_sanitized_index ON public.crm_lead USING btree (phone_sanitized) WHERE (phone_sanitized IS NOT NULL)
public,crm_lead,crm_lead__priority_index,CREATE INDEX crm_lead__priority_index ON public.crm_lead USING btree (priority)
public,crm_lead,crm_lead__reveal_id_index,CREATE INDEX crm_lead__reveal_id_index ON public.crm_lead USING btree (reveal_id) WHERE (reveal_id IS NOT NULL)
public,crm_lead,crm_lead__source_id_index,CREATE INDEX crm_lead__source_id_index ON public.crm_lead USING btree (source_id) WHERE (source_id IS NOT NULL)
public,crm_lead,crm_lead__stage_id_index,CREATE INDEX crm_lead__stage_id_index ON public.crm_lead USING btree (stage_id)
public,crm_lead,crm_lead__team_id_index,CREATE INDEX crm_lead__team_id_index ON public.crm_lead USING btree (team_id)
public,crm_lead,crm_lead__type_index,CREATE INDEX crm_lead__type_index ON public.crm_lead USING btree (type)
public,crm_lead,crm_lead__user_id_index,CREATE INDEX crm_lead__user_id_index ON public.crm_lead USING btree (user_id)
public,crm_lead,crm_lead_create_date_team_id_idx,"CREATE INDEX crm_lead_create_date_team_id_idx ON public.crm_lead USING btree (create_date, team_id)"
public,crm_lead,crm_lead_default_order_idx,"CREATE INDEX crm_lead_default_order_idx ON public.crm_lead USING btree (priority DESC, id DESC) WHERE (active IS TRUE)"
public,crm_lead,crm_lead_phone_partial_gin_idx,"CREATE INDEX crm_lead_phone_partial_gin_idx ON public.crm_lead USING gin (regexp_replace((phone)::text, '[\s\\./\(\)\-]'::text, ''::text, 'g'::text) gin_trgm_ops) WHERE (phone IS NOT NULL)"
public,crm_lead,crm_lead_phone_partial_tgm,"CREATE INDEX crm_lead_phone_partial_tgm ON public.crm_lead USING btree (regexp_replace((phone)::text, '[\s\\./\(\)\-]'::text, ''::text, 'g'::text)) WHERE (phone IS NOT NULL)"
public,crm_lead,crm_lead_pkey,CREATE UNIQUE INDEX crm_lead_pkey ON public.crm_lead USING btree (id)
public,crm_lead,crm_lead_user_id_team_id_type_index,"CREATE INDEX crm_lead_user_id_team_id_type_index ON public.crm_lead USING btree (user_id, team_id, type)"
public,crm_lead2opportunity_partner,crm_lead2opportunity_partner_pkey,CREATE UNIQUE INDEX crm_lead2opportunity_partner_pkey ON public.crm_lead2opportunity_partner USING btree (id)
public,crm_lead2opportunity_partner_mass,crm_lead2opportunity_partner_mass_pkey,CREATE UNIQUE INDEX crm_lead2opportunity_partner_mass_pkey ON public.crm_lead2opportunity_partner_mass USING btree (id)
public,crm_lead2opportunity_partner_mass_res_users_rel,crm_lead2opportunity_partner__res_users_id_crm_lead2opportu_idx,"CREATE INDEX crm_lead2opportunity_partner__res_users_id_crm_lead2opportu_idx ON public.crm_lead2opportunity_partner_mass_res_users_rel USING btree (res_users_id, crm_lead2opportunity_partner_mass_id)"
public,crm_lead2opportunity_partner_mass_res_users_rel,crm_lead2opportunity_partner_mass_res_users_rel_pkey,"CREATE UNIQUE INDEX crm_lead2opportunity_partner_mass_res_users_rel_pkey ON public.crm_lead2opportunity_partner_mass_res_users_rel USING btree (crm_lead2opportunity_partner_mass_id, res_users_id)"
public,crm_lead_crm_lead2opportunity_partner_mass_rel,crm_lead_crm_lead2opportunity_crm_lead_id_crm_lead2opportu_idx1,"CREATE INDEX crm_lead_crm_lead2opportunity_crm_lead_id_crm_lead2opportu_idx1 ON public.crm_lead_crm_lead2opportunity_partner_mass_rel USING btree (crm_lead_id, crm_lead2opportunity_partner_mass_id)"
public,crm_lead_crm_lead2opportunity_partner_mass_rel,crm_lead_crm_lead2opportunity_partner_mass_rel_pkey,"CREATE UNIQUE INDEX crm_lead_crm_lead2opportunity_partner_mass_rel_pkey ON public.crm_lead_crm_lead2opportunity_partner_mass_rel USING btree (crm_lead2opportunity_partner_mass_id, crm_lead_id)"
public,crm_lead_crm_lead2opportunity_partner_rel,crm_lead_crm_lead2opportunity_crm_lead_id_crm_lead2opportun_idx,"CREATE INDEX crm_lead_crm_lead2opportunity_crm_lead_id_crm_lead2opportun_idx ON public.crm_lead_crm_lead2opportunity_partner_rel USING btree (crm_lead_id, crm_lead2opportunity_partner_id)"
public,crm_lead_crm_lead2opportunity_partner_rel,crm_lead_crm_lead2opportunity_partner_rel_pkey,"CREATE UNIQUE INDEX crm_lead_crm_lead2opportunity_partner_rel_pkey ON public.crm_lead_crm_lead2opportunity_partner_rel USING btree (crm_lead2opportunity_partner_id, crm_lead_id)"
public,crm_lead_crm_lead_lost_rel,crm_lead_crm_lead_lost_rel_crm_lead_id_crm_lead_lost_id_idx,"CREATE INDEX crm_lead_crm_lead_lost_rel_crm_lead_id_crm_lead_lost_id_idx ON public.crm_lead_crm_lead_lost_rel USING btree (crm_lead_id, crm_lead_lost_id)"
public,crm_lead_crm_lead_lost_rel,crm_lead_crm_lead_lost_rel_pkey,"CREATE UNIQUE INDEX crm_lead_crm_lead_lost_rel_pkey ON public.crm_lead_crm_lead_lost_rel USING btree (crm_lead_lost_id, crm_lead_id)"
public,crm_lead_lost,crm_lead_lost_pkey,CREATE UNIQUE INDEX crm_lead_lost_pkey ON public.crm_lead_lost USING btree (id)
public,crm_lead_pls_update,crm_lead_pls_update_pkey,CREATE UNIQUE INDEX crm_lead_pls_update_pkey ON public.crm_lead_pls_update USING btree (id)
public,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel,crm_lead_pls_update_crm_lead__crm_lead_scoring_frequency_fi_idx,"CREATE INDEX crm_lead_pls_update_crm_lead__crm_lead_scoring_frequency_fi_idx ON public.crm_lead_pls_update_crm_lead_scoring_frequency_field_rel USING btree (crm_lead_scoring_frequency_field_id, crm_lead_pls_update_id)"
public,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel_pkey,"CREATE UNIQUE INDEX crm_lead_pls_update_crm_lead_scoring_frequency_field_rel_pkey ON public.crm_lead_pls_update_crm_lead_scoring_frequency_field_rel USING btree (crm_lead_pls_update_id, crm_lead_scoring_frequency_field_id)"
public,crm_lead_scoring_frequency,crm_lead_scoring_frequency__variable_index,CREATE INDEX crm_lead_scoring_frequency__variable_index ON public.crm_lead_scoring_frequency USING btree (variable)
public,crm_lead_scoring_frequency,crm_lead_scoring_frequency_pkey,CREATE UNIQUE INDEX crm_lead_scoring_frequency_pkey ON public.crm_lead_scoring_frequency USING btree (id)
public,crm_lead_scoring_frequency_field,crm_lead_scoring_frequency_field_pkey,CREATE UNIQUE INDEX crm_lead_scoring_frequency_field_pkey ON public.crm_lead_scoring_frequency_field USING btree (id)
public,crm_lost_reason,crm_lost_reason_pkey,CREATE UNIQUE INDEX crm_lost_reason_pkey ON public.crm_lost_reason USING btree (id)
public,crm_merge_opportunity,crm_merge_opportunity_pkey,CREATE UNIQUE INDEX crm_merge_opportunity_pkey ON public.crm_merge_opportunity USING btree (id)
public,crm_recurring_plan,crm_recurring_plan_pkey,CREATE UNIQUE INDEX crm_recurring_plan_pkey ON public.crm_recurring_plan USING btree (id)
public,crm_stage,crm_stage_pkey,CREATE UNIQUE INDEX crm_stage_pkey ON public.crm_stage USING btree (id)
public,crm_stage_crm_team_rel,crm_stage_crm_team_rel_crm_team_id_crm_stage_id_idx,"CREATE INDEX crm_stage_crm_team_rel_crm_team_id_crm_stage_id_idx ON public.crm_stage_crm_team_rel USING btree (crm_team_id, crm_stage_id)"
public,crm_stage_crm_team_rel,crm_stage_crm_team_rel_pkey,"CREATE UNIQUE INDEX crm_stage_crm_team_rel_pkey ON public.crm_stage_crm_team_rel USING btree (crm_stage_id, crm_team_id)"
public,crm_tag,crm_tag_name_uniq,CREATE UNIQUE INDEX crm_tag_name_uniq ON public.crm_tag USING btree (name)
public,crm_tag,crm_tag_pkey,CREATE UNIQUE INDEX crm_tag_pkey ON public.crm_tag USING btree (id)
public,crm_tag_rel,crm_tag_rel_pkey,"CREATE UNIQUE INDEX crm_tag_rel_pkey ON public.crm_tag_rel USING btree (lead_id, tag_id)"
public,crm_tag_rel,crm_tag_rel_tag_id_lead_id_idx,"CREATE INDEX crm_tag_rel_tag_id_lead_id_idx ON public.crm_tag_rel USING btree (tag_id, lead_id)"
public,crm_team,crm_team__company_id_index,CREATE INDEX crm_team__company_id_index ON public.crm_team USING btree (company_id)
