table_schema,table_name
public,activity_attachment_rel
public,auth_passkey_key
public,auth_passkey_key_create
public,auth_totp_device
public,auth_totp_rate_limit_log
public,auth_totp_wizard
public,base_document_layout
public,base_enable_profiling_wizard
public,base_import_import
public,base_import_mapping
public,base_import_module
public,base_language_export
public,base_language_import
public,base_language_install
public,base_module_install_request
public,base_module_install_review
public,base_module_uninstall
public,base_module_uninstall_ir_module_module_rel
public,base_module_update
public,base_module_upgrade
public,base_partner_merge_automatic_wizard
public,base_partner_merge_automatic_wizard_res_partner_rel
public,base_partner_merge_line
public,bus_bus
public,calendar_alarm
public,calendar_alarm_calendar_event_rel
public,calendar_attendee
public,calendar_event
public,calendar_event_res_partner_rel
public,calendar_event_type
public,calendar_filters
public,calendar_popover_delete_wizard
public,calendar_provider_config
public,calendar_recurrence
public,change_password_own
public,change_password_user
public,change_password_wizard
public,crm_convert_lead_mass_lead_rel
public,crm_iap_lead_helpers
public,crm_iap_lead_industry
public,crm_iap_lead_industry_crm_iap_lead_mining_request_rel
public,crm_iap_lead_mining_request
public,crm_iap_lead_mining_request_crm_iap_lead_role_rel
public,crm_iap_lead_mining_request_crm_tag_rel
public,crm_iap_lead_mining_request_res_country_rel
public,crm_iap_lead_mining_request_res_country_state_rel
public,crm_iap_lead_role
public,crm_iap_lead_seniority
public,crm_lead
public,crm_lead2opportunity_partner
public,crm_lead2opportunity_partner_mass
public,crm_lead2opportunity_partner_mass_res_users_rel
public,crm_lead_crm_lead2opportunity_partner_mass_rel
public,crm_lead_crm_lead2opportunity_partner_rel
public,crm_lead_crm_lead_lost_rel
public,crm_lead_lost
public,crm_lead_pls_update
public,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel
public,crm_lead_scoring_frequency
public,crm_lead_scoring_frequency_field
public,crm_lost_reason
public,crm_merge_opportunity
public,crm_recurring_plan
public,crm_stage
public,crm_stage_crm_team_rel
public,crm_tag
public,crm_tag_rel
public,crm_team
public,crm_team_member
public,decimal_precision
public,digest_digest
public,digest_digest_res_users_rel
public,digest_tip
public,digest_tip_res_users_rel
public,discuss_call_history
public,discuss_channel
public,discuss_channel_member
public,discuss_channel_res_groups_rel
public,discuss_channel_rtc_session
public,discuss_gif_favorite
public,discuss_voice_metadata
public,email_template_attachment_rel
public,fetchmail_server
public,html_editor_converter_test
public,html_editor_converter_test_sub
public,iap_account
public,iap_account_res_company_rel
public,iap_account_res_users_rel
public,iap_service
public,ir_act_client
public,ir_act_report_xml
public,ir_act_server
public,ir_act_server_group_rel
public,ir_act_server_res_partner_rel
public,ir_act_server_webhook_field_rel
public,ir_act_url
public,ir_act_window
public,ir_act_window_group_rel
public,ir_act_window_view
public,ir_actions
public,ir_actions_server_history
public,ir_actions_todo
public,ir_asset
public,ir_attachment
public,ir_config_parameter
public,ir_cron
public,ir_cron_progress
public,ir_cron_trigger
public,ir_default
public,ir_demo
public,ir_demo_failure
public,ir_demo_failure_wizard
public,ir_embedded_actions
public,ir_embedded_actions_res_groups_rel
public,ir_exports
public,ir_exports_line
public,ir_filters
public,ir_filters_res_users_rel
public,ir_logging
public,ir_mail_server
public,ir_model
public,ir_model_access
public,ir_model_constraint
public,ir_model_data
public,ir_model_fields
public,ir_model_fields_group_rel
public,ir_model_fields_selection
public,ir_model_inherit
public,ir_model_relation
public,ir_module_category
public,ir_module_module
public,ir_module_module_dependency
public,ir_module_module_exclusion
public,ir_profile
public,ir_rule
public,ir_sequence
public,ir_sequence_date_range
public,ir_ui_menu
public,ir_ui_menu_group_rel
public,ir_ui_view
public,ir_ui_view_custom
public,ir_ui_view_group_rel
public,mail_activity
public,mail_activity_plan
public,mail_activity_plan_mail_activity_schedule_rel
public,mail_activity_plan_template
public,mail_activity_plan_template_mail_activity_type_rel
public,mail_activity_rel
public,mail_activity_schedule
public,mail_activity_schedule_line
public,mail_activity_type
public,mail_activity_type_mail_template_rel
public,mail_alias
public,mail_alias_domain
public,mail_blacklist
public,mail_blacklist_remove
public,mail_canned_response
public,mail_canned_response_res_groups_rel
public,mail_compose_message
public,mail_compose_message_ir_attachments_rel
public,mail_compose_message_res_partner_rel
public,mail_followers
public,mail_followers_edit
public,mail_followers_edit_res_partner_rel
public,mail_followers_mail_message_subtype_rel
public,mail_gateway_allowed
public,mail_guest
public,mail_ice_server
public,mail_link_preview
public,mail_mail
public,mail_mail_res_partner_rel
public,mail_message
public,mail_message_link_preview
public,mail_message_reaction
public,mail_message_res_partner_rel
public,mail_message_res_partner_starred_rel
public,mail_message_schedule
public,mail_message_subtype
public,mail_message_translation
public,mail_notification
public,mail_presence
public,mail_push
public,mail_push_device
public,mail_scheduled_message
public,mail_scheduled_message_res_partner_rel
public,mail_template
public,mail_template_ir_actions_report_rel
public,mail_template_mail_template_reset_rel
public,mail_template_preview
public,mail_template_reset
public,mail_tracking_value
public,meeting_category_rel
public,merge_opportunity_rel
public,message_attachment_rel
public,module_country
public,orm_signaling_assets
public,orm_signaling_default
public,orm_signaling_groups
public,orm_signaling_registry
public,orm_signaling_routing
public,orm_signaling_stable
public,orm_signaling_templates
public,phone_blacklist
public,phone_blacklist_remove
public,portal_share
public,portal_share_res_partner_rel
public,portal_wizard
public,portal_wizard_res_partner_rel
public,portal_wizard_user
public,privacy_log
public,privacy_lookup_wizard
public,privacy_lookup_wizard_line
public,properties_base_definition
public,rel_modules_langexport
public,report_layout
public,report_paperformat
public,res_bank
public,res_company
public,res_company_users_rel
public,res_config
public,res_config_settings
public,res_country
public,res_country_group
public,res_country_res_country_group_rel
public,res_country_state
public,res_currency
public,res_currency_rate
public,res_device_log
public,res_groups
public,res_groups_implied_rel
public,res_groups_privilege
public,res_groups_report_rel
public,res_groups_users_rel
public,res_lang
public,res_lang_install_rel
public,res_partner
public,res_partner_bank
public,res_partner_category
public,res_partner_industry
public,res_partner_res_partner_category_rel
public,res_role
public,res_role_res_users_rel
public,res_users
public,res_users_apikeys
public,res_users_apikeys_description
public,res_users_deletion
public,res_users_identitycheck
public,res_users_log
public,res_users_settings
public,res_users_settings_embedded_action
public,res_users_settings_volumes
public,res_users_web_tour_tour_rel
public,reset_view_arch_wizard
public,resource_calendar
public,resource_calendar_attendance
public,resource_calendar_leaves
public,resource_resource
public,rule_group_rel
public,scheduled_message_attachment_rel
public,server_action_history_wizard
public,sms_account_code
public,sms_account_phone
public,sms_account_sender
public,sms_composer
public,sms_sms
public,sms_template
public,sms_template_preview
public,sms_template_reset
public,sms_template_sms_template_reset_rel
public,sms_tracker
public,snailmail_letter
public,team_favorite_user_rel
public,utm_campaign
public,utm_medium
public,utm_source
public,utm_stage
public,utm_tag
public,utm_tag_rel
public,web_tour_tour
public,web_tour_tour_step
public,wizard_ir_model_menu_create
